name,mean[s],min[s],max[s],std-dev[s]
backend/cluster_mesh,0.00820179,0.000146536,0.0162271,0.00397944
backend/copy_mesh_delta,0.000695372,5.9041e-05,0.00171301,0.000309192
backend/process_factors,0.000103666,4.599e-06,0.000646299,4.33946e-05
backend/read_graph,0.00576294,7.0714e-05,0.01151,0.00274676
backend/sinks,0.0198348,0.000284477,0.0372781,0.0101399
backend/spin,0.0348389,0.000735258,0.0665609,0.0170717
backend/update,0.00824085,0.000147398,0.0163179,0.00388303
backend/update_2d_places,6.54481e-05,6.382e-06,0.000139914,2.0453e-05
backend/update_objects,0.000684023,2.3103e-05,0.00204426,0.000317388
dsg_updater/update_layers,0.0149638,0.000366021,0.0292327,0.00696617
frontend/dgraph_compresssion,0.00941537,0.000997393,0.0217534,0.00362465
frontend/interlayer_edges,0.00174275,1.4708e-05,0.00367302,0.000857336
frontend/launch_callbacks,0.0643009,0.00696839,0.0919718,0.0128272
frontend/merge_graph,0.00707417,7.5212e-05,0.0146605,0.00337515
frontend/mesh_archive,0.000963591,6.442e-06,0.0130943,0.00184849
frontend/mesh_compression,0.041394,0.00512062,0.0615754,0.00860751
frontend/mesh_update,0.00057474,0.00013779,0.00383016,0.000263543
frontend/objects_detection,0.0157027,0.00128103,0.0294504,0.00485913
frontend/objects_graph_update,0.00220482,3.688e-05,0.00464301,0.000751034
frontend/places_2d,0.014879,0.000783539,0.0237657,0.00343225
frontend/postmesh_callbacks,0.0212214,0.00140161,0.0362508,0.00503462
frontend/sinks,1.05301e-06,4.91e-07,3.937e-06,3.71492e-07
frontend/spin,0.0736434,0.00722611,0.107154,0.0150095
frontend/update_posegraph,8.77622e-05,9.127e-06,0.000795592,8.18797e-05
reconstruction/mesh,0.00249318,0.00145601,0.00563153,0.000513678
reconstruction/spin,0.00796518,0.00484171,0.0188344,0.00275307
reconstruction/tsdf,0.00264193,0.00122208,0.0084891,0.000556229
